alpha	total_observations	power	effect_size	metric	column	difference
0.05	100	0.09620838132788648	0.12676525677345454	cohens_d	obese	0.5
0.05	200	0.1449459949991041	0.12676525677345454	cohens_d	obese	0.5
0.05	300	0.19446085020597043	0.12676525677345454	cohens_d	obese	0.5
0.05	400	0.24404280775642928	0.12676525677345454	cohens_d	obese	0.5
0.05	500	0.2931027669864492	0.12676525677345454	cohens_d	obese	0.5
0.05	600	0.3411614264066531	0.12676525677345454	cohens_d	obese	0.5
0.05	700	0.3878369608090668	0.12676525677345454	cohens_d	obese	0.5
0.05	800	0.43283312565746773	0.12676525677345454	cohens_d	obese	0.5
0.05	900	0.47592803608041856	0.12676525677345454	cohens_d	obese	0.5
0.05	1000	0.5169638335348302	0.12676525677345454	cohens_d	obese	0.5
0.05	100	0.24114509315878338	0.2535305135469091	cohens_d	obese	1.0
0.05	200	0.4302653159090674	0.2535305135469091	cohens_d	obese	1.0
0.05	300	0.590424831047957	0.2535305135469091	cohens_d	obese	1.0
0.05	400	0.7153999023514905	0.2535305135469091	cohens_d	obese	1.0
0.05	500	0.8076108868149141	0.2535305135469091	cohens_d	obese	1.0
0.05	600	0.8728877645609003	0.2535305135469091	cohens_d	obese	1.0
0.05	700	0.9176309959164843	0.2535305135469091	cohens_d	obese	1.0
0.05	800	0.9475105419923376	0.2535305135469091	cohens_d	obese	1.0
0.05	900	0.9670367751645729	0.2535305135469091	cohens_d	obese	1.0
0.05	1000	0.9795649223599142	0.2535305135469091	cohens_d	obese	1.0
0.05	100	0.4693206008665058	0.3802957703203636	cohens_d	obese	1.5
0.05	200	0.7630273883535135	0.3802957703203636	cohens_d	obese	1.5
0.05	300	0.9070593642284709	0.3802957703203636	cohens_d	obese	1.5
0.05	400	0.9666582532728845	0.3802957703203636	cohens_d	obese	1.5
0.05	500	0.9888041979963409	0.3802957703203636	cohens_d	obese	1.5
0.05	600	0.9964294940473594	0.3802957703203636	cohens_d	obese	1.5
0.05	700	0.9989077827815964	0.3802957703203636	cohens_d	obese	1.5
0.05	800	0.9996772412533295	0.3802957703203636	cohens_d	obese	1.5
0.05	900	0.9999073667089362	0.3802957703203636	cohens_d	obese	1.5
0.05	1000	1.0	0.3802957703203636	cohens_d	obese	1.5
